,name,target_speed,collision,min_distance,stopped,brake_reaction_time,result
85,"Obstacle on Curve (Dist 60.0m, 30.0km/h)",30.0,False,6.103930473327637,True,1.7338545322418213,PASS (Stopped)
86,False Positive - Empty Road,30.0,False,inf,False,3.4715750217437744,PASS (Timeout)
87,Lead Vehicle Braking (Start Dist 10m),40.0,False,9.611896514892578,True,0.24342775344848633,PASS (Stopped)
88,Lead Vehicle Braking (Start Dist 10m),20.0,False,10.220348358154297,False,0.23968243598937988,PASS (Timeout)
89,Lead Vehicle Braking (Start Dist 20m),80.0,False,11.432801246643066,True,0.23798704147338867,PASS (Stopped)
90,Lead Vehicle Braking (Start Dist 15m),50.0,False,8.516654014587402,True,0.23836994171142578,PASS (Stopped)
91,Lead Vehicle Braking (Start Dist 25m),100.0,True,4.5358686447143555,True,0.23728346824645996,FAIL (Collision)
92,Stationary Car @ 10m,10.0,False,7.508939266204834,True,0.24079251289367676,PASS (Stopped)
93,Stationary Car @ 20m,20.0,False,13.659601211547852,True,0.24144983291625977,PASS (Stopped)
94,Stationary Car @ 30m,50.0,True,4.5439677238464355,True,0.24293112754821777,FAIL (Collision)
95,Stationary Car @ 40m,40.0,False,18.774198532104492,True,0.5538899898529053,PASS (Stopped)
96,Stationary Car @ 50m,50.0,False,12.271341323852539,True,0.309694766998291,PASS (Stopped)
97,Stationary Car @ 30m,50.0,True,4.554109573364258,True,0.23993492126464844,FAIL (Collision)
98,Stationary Car @ 40m,60.0,True,4.618294715881348,True,0.31921839714050293,FAIL (Collision)
99,Stationary Car @ 80m,70.0,False,12.952309608459473,True,0.3896141052246094,PASS (Stopped)
100,Stationary Car @ 100m,90.0,False,12.390748977661133,True,0.9323692321777344,PASS (Stopped)
101,Stationary Car @ 60m,100.0,True,4.693992614746094,True,0.2538876533508301,FAIL (Collision)
102,Stationary Car @ 120m,120.0,True,4.57848596572876,True,1.4764459133148193,FAIL (Collision)
103,"Suicidal Homing Pedestrian (Trigger 40m, Stop @ 2.5m)",40.0,True,2.5517964363098145,True,2.2392990589141846,FAIL (Collision)
104,"Suicidal Homing Pedestrian (Trigger 15m, Stop @ 2.5m)",20.0,False,3.6356201171875,True,0.5235528945922852,PASS (Stopped)
105,"Suicidal Homing Pedestrian (Trigger 25m, Stop @ 2.5m)",60.0,False,1.548029899597168,False,1.1330084800720215,PASS (Timeout)
106,Pedestrian Crossing (Trigger 12.0m),30.0,False,3.822793960571289,True,1.1381187438964844,PASS (Stopped)
107,Pedestrian Crossing (Trigger 20.0m),30.0,False,6.161367893218994,False,0.7048666477203369,PASS (Timeout)
108,Pedestrian Crossing (Trigger 10.0m),30.0,True,2.287975788116455,False,1.0485625267028809,FAIL (Collision)
109,Pedestrian Crossing (Trigger 15.0m),30.0,False,4.611408233642578,False,0.7339982986450195,PASS (Timeout)
110,Pedestrian Crossing (Trigger 17.0m),30.0,False,4.323817729949951,False,1.0703134536743164,PASS (Timeout)
111,Obstructed Pedestrian (Trigger 10.0m),20.0,True,1.5165165662765503,False,0.3929605484008789,FAIL (Collision)
